IDTNS;TIPO;OPERADORA;ESTADO;DATA;ANO_BASE;Q1;Q2;Q2_1;Q2_2;Q3;Q4;Q5;Q6;Q7;Q7a;Q8;J1;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A1_1;A1_2;A1_3;A1_4;A2_1;A2_2;A2_3;A3;A4;E1;E2;E3;E4;E5;E6;E7;E8;F1;F2_1;F2_2;F2_3;F3;F4_1;F4_2;F4_3;G1;G2_1;G2_2;G2_3;H0;COD_IBGE;H1;H2;H2a;H3;I1;I2;PESO
440014;BANDA-LARGA;OI;ES;18/jul/20;2020;1;;2;2;1;1;1;1;47;7;1;10;10;99;10;10;10;10;10;;2;;;;;;;10;2;;2;;2;;1;10;2;;;;1;10;10;10;;2;1;1;VITÓRIA;3205309;1;13000;5;7;1;;0,514795598
472877;BANDA-LARGA;OI;MG;18/jul/20;2020;1;;2;2;1;1;1;1;67;8;1;8;8;8;8;7;7;7;8;1;;;;9;9;9;9;;1;8;2;;2;;1;8;2;;;;1;8;8;8;;2;2;1;BELO HORIZONTE;3106200;2;999997;1;5;1;;2,373394851
494577;BANDA-LARGA;OI;MT;18/jul/20;2020;1;;2;2;1;1;1;1;31;5;2;8;7;7;6;6;7;8;8;;;;97;;;;;;2;;1;6;2;;1;7;2;;;;1;7;7;7;;2;2;1;SÃO JOSÉ DOS QUATRO MARCOS;5107107;1;4000;2;7;1;;0,539319816
505963;BANDA-LARGA;OI;PA;18/jul/20;2020;1;;2;2;1;1;1;1;30;4;1;0;7;5;0;0;0;7;7;;2;;;;;;;5;2;;1;5;2;;1;5;2;;;;1;7;7;7;;2;2;1;BELÉM;1501402;1;1900;1;7;1;;0,329718823
542584;BANDA-LARGA;OI;PI;18/jul/20;2020;1;;2;2;1;1;1;1;57;8;1;8;8;99;5;7;6;10;9;1;;;;7;9;8;8;;2;;2;;2;;1;9;1;10;10;10;1;10;10;10;;2;1;1;TERESINA;2211001;2;999999;99;2;1;;0,182607017
542632;BANDA-LARGA;OI;PI;18/jul/20;2020;1;;2;2;1;1;2;1;47;7;2;9;7;8;9;9;9;9;10;1;2;;;7;9;10;9;10;2;;2;;2;;1;9;2;;;;1;9;10;10;;2;1;1;TERESINA;2211001;1;4000;2;5;1;;0,182607017
604118;BANDA-LARGA;OI;RR;18/jul/20;2020;1;;2;2;1;1;1;1;55;8;2;5;7;0;3;2;3;0;5;1;;;;3;0;4;3;;1;1;2;;2;;1;3;2;;;;1;3;2;2;;2;2;1;BOA VISTA;1400100;3;10000;4;9;1;;0,084349574
650455;BANDA-LARGA;OI;TO;18/jul/20;2020;1;;2;2;1;1;1;1;45;7;1;8;9;9;9;9;8;9;10;1;2;3;;8;8;9;8;8;2;;1;10;2;;1;7;1;10;10;10;1;10;10;9;;2;2;1;PALMAS;1721000;1;10000;4;7;1;;0,200930781
661978;BANDA-LARGA;SERCOMTEL;PR;18/jul/20;2020;1;;2;2;1;1;2;1;52;8;1;5;99;10;7;5;8;5;8;1;;;;8;8;8;10;;2;;1;10;2;;1;5;2;;;;1;9;10;7;;2;1;1;CAMBÉ;4103701;1;999999;99;2;3;;0,302190147
719636;BANDA-LARGA;SKY;MG;18/jul/20;2020;1;;2;2;1;1;1;1;49;7;1;0;0;0;0;0;0;0;0;1;;;;0;0;0;0;;1;0;1;0;2;;1;0;2;;;;2;;;;;2;2;2;CONTAGEM;3118601;1;1200;1;5;3;;0,105366518
794443;BANDA-LARGA;TIM;GO;18/jul/20;2020;1;;2;2;1;1;1;1;44;7;2;7;5;5;7;5;7;6;6;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;OUTROS;9999;1;2600;2;5;1;;0,239904845
794949;BANDA-LARGA;TIM;GO;18/jul/20;2020;1;;2;2;1;1;1;1;29;4;2;6;8;6;8;7;5;9;8;1;2;;;6;7;10;9;9;2;;2;;2;;1;7;2;;;;2;;;;;2;1;2;OUTROS;9999;2;2000;1;7;1;;0,239904845
855081;BANDA-LARGA;VIVO;DF;18/jul/20;2020;1;;2;2;1;1;1;1;28;4;1;5;8;5;6;5;7;5;7;1;2;;;6;5;7;7;6;1;5;1;7;2;;1;4;2;;;;1;6;5;4;;2;2;1;BRASÍLIA;5300108;2;5000;3;7;1;;0,860180898
924042;BANDA-LARGA;VIVO;PE;18/jul/20;2020;1;;2;2;1;1;1;1;55;8;1;7;8;5;5;3;5;7;8;1;;;;8;7;9;10;;2;;2;;2;;1;4;2;;;;1;9;6;7;;2;2;1;RECIFE;2611606;1;5000;3;3;1;;0,710561378
11444;BANDA-LARGA;CLARO/NET;AL;20/jul/20;2020;1;;2;2;1;1;1;1;61;8;2;1;1;1;1;1;1;5;5;1;;;;5;1;1;5;;2;;2;;2;;1;0;2;;;;1;5;0;0;;1;1;1;MACEIÓ;2704302;2;10000;4;9;1;;0,343029426
20981;BANDA-LARGA;CLARO/NET;AM;20/jul/20;2020;1;;2;2;1;1;1;1;74;9;1;7;6;7;5;4;5;7;8;1;;;;7;3;8;0;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;MANAUS;1302603;1;999997;1;5;1;;0,835665362
94499;BANDA-LARGA;CLARO/NET;MG;20/jul/20;2020;1;;2;2;1;1;1;1;41;7;2;6;9;8;6;4;4;5;7;;2;;;;;;;8;2;;1;6;2;;1;6;2;;;;1;6;4;8;;2;2;1;BELO HORIZONTE;3106200;3;10000;4;7;1;;2,41303017
165299;BANDA-LARGA;CLARO/NET;PR;20/jul/20;2020;1;;2;2;1;1;1;1;32;5;1;8;7;7;7;7;9;7;6;1;;;;6;6;7;7;;1;5;2;;2;;1;6;1;9;8;9;2;;;;;2;2;1;OUTROS;9999;1;999999;99;4;1;;2,176868465
166389;BANDA-LARGA;CLARO/NET;PR;20/jul/20;2020;1;;2;2;1;1;2;1;57;8;1;6;8;6;6;5;5;8;10;1;;;;7;7;7;7;;2;;2;;2;;1;6;2;;;;2;;;;;1;1;1;CURITIBA;4106902;2;15000;5;7;1;;2,176868465
166754;BANDA-LARGA;CLARO/NET;PR;20/jul/20;2020;1;;2;2;1;1;1;1;52;8;2;3;0;0;0;0;0;0;0;1;;;;0;0;7;0;;1;3;2;;2;;1;4;1;9;9;9;1;0;0;0;;1;2;1;CURITIBA;4106902;2;3000;2;5;1;;2,176868465
207126;BANDA-LARGA;CLARO/NET;RS;20/jul/20;2020;1;;2;2;1;1;1;1;74;9;2;5;5;5;5;5;5;10;10;1;;3;;10;10;10;10;;2;;2;;2;;1;10;2;;;;2;;;;;1;2;1;PORTO ALEGRE;4314902;1;4000;2;5;1;;2,903910715
216075;BANDA-LARGA;CLARO/NET;SC;20/jul/20;2020;1;;2;2;1;1;1;1;38;6;2;10;9;9;10;10;9;8;8;1;2;;;7;8;9;8;8;2;;1;9;2;;2;;1;8;8;9;2;;;;;1;2;1;BLUMENAU;4202404;2;3500;2;5;1;;2,442418163
217164;BANDA-LARGA;CLARO/NET;SC;20/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;8;2;5;9;8;9;8;8;1;;3;;7;7;5;6;;1;8;1;4;1;3;2;;2;;;;2;;;;;2;1;1;JOINVILLE;4209102;2;4000;2;7;1;;2,442418163
276040;BANDA-LARGA;ALGAR;SP;20/jul/20;2020;1;;2;2;1;1;1;1;37;6;2;5;7;7;6;5;6;5;5;1;;;;8;5;8;8;;2;;1;5;1;5;1;5;2;;;;1;10;10;5;;2;2;1;BATATAIS;3505906;2;999997;99;99;3;;0,385319884
338567;BANDA-LARGA;HUGHES;PR;20/jul/20;2020;1;;2;2;1;1;1;1;39;6;2;6;8;7;7;5;2;10;10;;2;;;;;;;6;2;;2;;2;;1;5;2;;;;2;;;;;2;2;2;CURITIBA;4106902;2;10000;4;8;1;;0,06671216
338773;BANDA-LARGA;HUGHES;PR;20/jul/20;2020;1;;2;2;1;1;1;1;32;5;2;9;9;9;9;10;7;10;9;1;;;;8;10;10;10;;2;;2;;1;10;2;;2;;;;2;;;;;2;2;2;CAMPO LARGO;4104204;1;1500;1;5;1;;0,06671216
348867;BANDA-LARGA;HUGHES;RS;20/jul/20;2020;1;;2;2;1;1;1;1;40;6;2;5;5;5;5;5;5;5;5;1;;;;8;8;5;8;;1;5;1;5;1;5;1;5;2;;;;2;;;;;2;2;2;ROSÁRIO DO SUL;4316402;1;2000;1;5;1;;0,068548425
473122;BANDA-LARGA;OI;MG;20/jul/20;2020;1;;2;2;1;1;2;1;18;3;2;6;7;7;5;4;5;8;8;1;;;;5;5;6;6;;2;;2;;2;;1;5;2;;;;1;8;8;6;;2;1;1;CONTAGEM;3118601;2;3000;2;5;1;;2,373394851
531312;BANDA-LARGA;OI;PE;20/jul/20;2020;1;;2;2;1;1;1;1;44;7;2;10;10;10;10;10;10;10;10;;;;97;;;;;;1;10;2;;2;;2;;2;;;;2;;;;;2;1;1;RECIFE;2611606;3;2200;2;7;1;;0,259755499
543209;BANDA-LARGA;OI;PI;20/jul/20;2020;1;;2;2;1;1;1;1;60;8;2;10;10;10;10;10;10;10;10;1;2;3;;10;10;10;10;10;2;;2;;2;;2;;2;;;;1;10;10;10;;2;2;1;TIMON;2112209;3;999997;2;7;3;;0,182607017
554448;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;52;8;1;8;9;10;10;10;8;10;10;;;;97;;;;;;1;10;2;;2;;2;;2;;;;2;;;;;1;2;1;CURITIBA;4106902;3;3500;2;5;1;;1,27543121
554734;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;31;5;2;9;7;7;10;9;8;7;7;1;;3;;9;9;9;10;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;CURITIBA;4106902;2;2500;2;5;1;;1,27543121
555134;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;43;7;1;6;10;7;3;7;6;10;10;1;2;;;5;5;7;8;6;2;;2;;2;;1;4;2;;;;1;7;7;7;;2;1;1;CURITIBA;4106902;1;4000;2;9;1;;1,27543121
555263;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;5;6;0;5;0;2;6;7;1;;;;0;0;10;8;;2;;1;9;1;8;1;0;2;;;;1;10;0;5;;1;2;1;CURITIBA;4106902;1;999997;1;3;1;;1,27543121
555268;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;66;8;1;10;10;10;10;8;10;10;10;1;2;;;9;10;10;9;10;2;;2;;2;;1;10;2;;;;1;10;10;10;;2;2;2;CURITIBA;4106902;2;4000;2;5;1;;1,27543121
555351;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;38;6;1;4;5;5;4;4;4;8;8;1;2;;;9;9;9;9;9;2;;2;;2;;1;7;2;;;;1;9;7;9;;2;2;1;CURITIBA;4106902;1;2500;2;5;1;;1,27543121
555397;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;61;8;2;9;9;9;9;9;9;9;9;1;;;;7;99;10;9;;2;;2;;1;10;2;;2;;;;2;;;;;2;1;1;SÃO JOSÉ DOS PINHAIS;4125506;3;999997;99;2;3;;1,27543121
555555;BANDA-LARGA;OI;PR;20/jul/20;2020;1;;2;2;1;1;1;1;27;4;1;7;7;8;7;6;5;7;8;1;2;;;7;6;7;8;7;2;;2;;2;;1;6;2;;;;1;5;6;8;;1;2;1;CURITIBA;4106902;2;2500;2;5;1;;1,27543121
615744;BANDA-LARGA;OI;RS;20/jul/20;2020;1;;2;2;1;1;2;1;55;8;1;9;8;8;9;7;7;8;9;1;2;;;5;7;8;6;8;2;;2;;2;;1;9;2;;;;1;9;9;8;;2;1;1;PORTO ALEGRE;4314902;1;999997;99;5;1;;1,122710263
615867;BANDA-LARGA;OI;RS;20/jul/20;2020;1;;2;2;1;1;1;1;54;8;2;7;8;8;7;5;7;9;8;1;2;;;7;8;8;8;7;1;9;1;8;1;8;2;;2;;;;1;7;7;7;;2;2;1;PORTO ALEGRE;4314902;1;1300;1;5;1;;1,122710263
627270;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;1;1;51;8;2;10;10;10;10;8;8;10;10;1;;;;8;8;8;10;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;BLUMENAU;4202404;2;3000;2;5;1;;1,039331554
627465;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;1;1;55;8;1;8;0;0;5;8;8;5;5;1;;;;0;6;3;5;;1;0;1;0;2;;1;8;2;;;;1;8;8;5;;2;2;1;BLUMENAU;4202404;1;1400;1;3;1;;1,039331554
627490;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;1;1;59;8;1;9;10;8;10;8;8;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;BLUMENAU;4202404;2;2500;2;2;3;;1,039331554
627495;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;2;1;62;8;1;8;6;8;7;9;9;9;9;1;2;;;6;7;8;8;7;1;7;2;;2;;2;;2;;;;2;;;;;2;2;1;BLUMENAU;4202404;2;2000;1;2;3;;1,039331554
627581;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;1;1;53;8;2;8;7;7;8;5;8;5;7;;;3;;;;;;;2;;1;7;2;;1;8;2;;;;1;9;9;9;;2;1;1;GASPAR;4205902;2;999997;99;5;1;;1,039331554
627721;BANDA-LARGA;OI;SC;20/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;5;8;6;3;0;3;9;7;1;2;;;4;7;8;3;7;2;;2;;2;;1;0;2;;;;1;4;8;0;;2;2;1;BLUMENAU;4202404;1;1500;1;2;1;;1,039331554
661550;BANDA-LARGA;SERCOMTEL;PR;20/jul/20;2020;1;;2;2;1;1;1;1;22;3;1;9;10;10;10;10;10;10;10;1;2;;;9;10;10;10;10;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;BANDEIRANTES;4102406;3;3500;2;5;1;;0,302190147
661555;BANDA-LARGA;SERCOMTEL;PR;20/jul/20;2020;1;;2;2;1;1;1;1;33;5;1;5;9;8;5;3;3;10;10;1;2;;;7;8;8;7;9;2;;2;;2;;1;3;2;;;;1;8;6;2;;2;2;1;ARAPONGAS;4101507;2;4000;2;4;1;;0,302190147
662160;BANDA-LARGA;SERCOMTEL;PR;20/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;0;0;0;0;0;0;0;2;1;;;;5;0;0;0;;2;;2;;1;0;1;0;2;;;;1;0;0;0;;2;2;1;IBIPORÃ;4109807;2;3000;2;4;1;;0,302190147
662231;BANDA-LARGA;SERCOMTEL;PR;20/jul/20;2020;1;;2;2;1;1;1;1;54;8;2;5;8;2;7;8;6;9;10;1;2;;;8;10;10;7;5;1;8;1;9;2;;1;8;2;;;;2;;;;;2;1;1;LONDRINA;4113700;2;2500;2;2;1;;0,302190147
682742;BANDA-LARGA;SKY;DF;20/jul/20;2020;1;;2;2;1;1;1;1;43;7;1;8;9;9;8;6;7;10;10;1;;;;2;8;10;9;;2;;1;10;1;8;2;;2;;;;2;;;;;1;2;2;BRASÍLIA;5300108;2;1000;1;4;1;;0,070998408
695643;BANDA-LARGA;SKY;GO;20/jul/20;2020;1;;2;2;1;1;1;1;36;6;2;8;9;9;10;10;9;10;10;1;;;;8;9;9;9;;1;9;1;8;2;;2;;2;;;;2;;;;;2;2;2;LUZIÂNIA;5212501;1;999997;1;5;3;;0,091818997
720053;BANDA-LARGA;SKY;MG;20/jul/20;2020;1;;2;2;1;1;1;1;62;8;2;8;8;9;9;9;8;7;7;1;2;;;6;8;8;8;8;1;8;2;;1;9;2;;2;;;;2;;;;;2;1;2;SANTA LUZIA;3157807;1;2900;2;3;1;;0,105366518
794869;BANDA-LARGA;TIM;GO;20/jul/20;2020;1;;2;2;1;1;1;1;54;8;2;5;5;6;4;3;7;5;7;1;2;3;;3;6;9;99;5;1;99;2;;2;;2;;2;;;;1;99;9;8;;2;1;1;GOIÂNIA;5208707;3;999997;99;7;1;;0,239904845
824091;BANDA-LARGA;UNIFIQUE;SC;20/jul/20;2020;1;;2;2;1;1;1;1;66;8;2;7;10;8;8;5;8;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;BRUSQUE;4202909;2;999997;4;9;1;;1,803466277
824202;BANDA-LARGA;UNIFIQUE;SC;20/jul/20;2020;1;;2;2;1;1;1;1;31;5;2;10;10;10;10;10;10;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;MASSARANDUBA;4210605;2;3800;2;5;1;;1,803466277
