OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
OI,PR,2,54,8,2,4,5,4,4,3,3,5,6,1.0,4.0,6.0,6.0,5.0,1,4.0,1,4.0,5.0,6.0,2,2,1,2,7000,4,"1,27543121",4,16,0
OI,PR,1,52,8,1,7,7,7,7,7,7,5,5,1.0,5.0,5.0,5.0,5.0,1,5.0,1,5.0,5.0,5.0,1,1,1,2,999998,1,"1,27543121",4,16,0
OI,RJ,2,48,7,1,7,6,6,3,3,4,5,5,1.0,6.0,4.0,9.0,9.0,1,5.0,1,6.0,5.0,5.0,2,2,1,2,999998,2,"3,133992759",4,17,0
OI,RJ,2,39,6,1,8,8,8,8,7,8,8,9,1.0,8.0,8.0,8.0,8.0,1,8.0,1,9.0,10.0,8.0,2,1,1,1,1500,1,"3,133992759",4,17,0
OI,RJ,1,24,3,2,7,9,8,10,8,7,10,10,1.0,10.0,7.0,6.0,7.0,1,10.0,1,10.0,10.0,10.0,1,2,1,1,2000,1,"3,133992759",4,17,0
OI,RO,1,25,4,1,7,6,7,7,6,7,8,8,1.0,3.0,2.0,5.0,5.0,1,7.0,1,2.0,2.0,3.0,2,2,1,2,5000,3,"0,208631919",4,19,0
OI,RO,1,34,5,1,2,2,1,5,2,5,4,10,1.0,6.0,7.0,8.0,8.0,2,99,2,99,99,99,2,1,2,2,2000,1,"0,208631919",4,19,1
OI,RR,1,46,7,2,3,0,2,3,3,2,10,2,99,99,99,99,99,1,10.0,1,7.0,0.0,10.0,1,1,1,2,5000,3,"0,084349574",4,20,1
OI,RS,2,60,8,1,8,8,8,8,7,9,8,8,1.0,7.0,8.0,10.0,8.0,1,8.0,1,8.0,10.0,10.0,2,2,1,1,3000,2,"1,122710263",4,21,0
OI,RS,1,59,8,2,3,4,4,4,4,4,2,4,1.0,4.0,4.0,5.0,5.0,1,5.0,1,5.0,5.0,5.0,2,1,1,4,999998,99,"1,122710263",4,21,1
OI,RS,2,38,6,2,7,7,8,8,5,6,5,9,1.0,3.0,5.0,4.0,5.0,2,99,1,8.0,9.0,9.0,2,2,1,2,999998,2,"1,122710263",4,21,0
OI,SC,1,60,8,1,5,5,5,6,5,6,10,6,1.0,6.0,7.0,8.0,7.0,1,7.0,2,99,99,99,1,2,1,2,10000,4,"1,039331554",4,22,0
OI,SC,1,47,7,1,8,9,8,8,7,7,9,9,1.0,9.0,8.0,9.0,9.0,1,7.0,1,8.0,9.0,8.0,2,1,1,1,1500,1,"1,039331554",4,22,0
OI,SC,1,27,4,2,7,3,8,5,5,8,8,8,1.0,5.0,5.0,7.0,8.0,1,8.0,1,8.0,8.0,5.0,2,2,2,2,5000,3,"1,039331554",4,22,0
OI,SC,1,45,7,1,5,6,3,5,4,5,8,8,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,999998,99,"1,039331554",4,22,0
OI,TO,1,30,4,2,7,5,5,8,6,7,9,9,1.0,7.0,7.0,7.0,8.0,1,8.0,2,99,99,99,1,1,1,3,3000,2,"0,200930781",4,25,0
SERCOMTEL,PR,1,35,5,2,5,5,5,5,4,4,7,7,1.0,8.0,7.0,7.0,7.0,1,2.0,1,3.0,8.0,5.0,2,2,1,4,10000,4,"0,302190147",5,16,0
SERCOMTEL,PR,1,70,8,2,8,8,8,8,8,5,8,99,99,99,99,99,99,1,8.0,2,99,99,99,2,2,1,1,999998,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,25,4,2,3,5,7,8,8,1,8,8,1.0,8.0,7.0,7.0,7.0,2,99,2,99,99,99,2,2,1,3,15000,5,"0,302190147",5,16,1
SERCOMTEL,PR,1,47,7,2,5,8,7,6,4,6,9,9,1.0,8.0,5.0,10.0,8.0,1,3.0,1,8.0,6.0,3.0,2,1,1,2,4000,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,49,7,2,7,8,8,8,8,10,10,10,1.0,10.0,10.0,10.0,10.0,1,8.0,1,10.0,10.0,10.0,2,2,1,1,3800,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,59,8,1,10,10,10,10,10,10,10,10,1.0,0.0,10.0,10.0,10.0,2,99,2,99,99,99,2,2,1,2,1500,1,"0,302190147",5,16,0
SERCOMTEL,PR,1,42,7,2,1,8,8,1,0,1,8,8,1.0,8.0,5.0,8.0,7.0,1,5.0,2,99,99,99,2,2,1,2,999999,99,"0,302190147",5,16,1
SKY,AM,1,30,4,1,10,10,9,10,9,9,5,5,1.0,9.0,6.0,10.0,10.0,2,99,2,99,99,99,2,2,2,2,1500,1,"0,133954269",6,2,0
SKY,AM,1,26,4,1,9,8,10,9,8,8,7,9,1.0,7.0,8.0,9.0,9.0,1,9.0,1,7.0,9.0,7.0,1,2,2,2,3000,2,"0,133954269",6,2,0
SKY,AM,2,34,5,2,8,7,6,7,6,7,5,7,1.0,6.0,1.0,7.0,7.0,2,99,2,99,99,99,1,2,2,2,2000,1,"0,133954269",6,2,0
SKY,DF,1,18,3,1,10,10,10,10,7,10,10,10,1.0,10.0,9.0,10.0,10.0,2,99,2,99,99,99,1,2,2,4,999998,2,"0,070998408",6,5,0
SKY,GO,1,33,5,1,5,8,10,10,10,5,10,10,1.0,10.0,5.0,10.0,10.0,1,10.0,1,6.0,5.0,10.0,2,2,2,2,2000,1,"0,091818997",6,7,0
SKY,GO,1,36,6,1,7,8,8,7,8,7,9,9,1.0,7.0,7.0,8.0,7.0,1,8.0,2,99,99,99,2,2,2,2,1000,1,"0,091818997",6,7,0
SKY,GO,1,22,3,2,5,10,5,10,8,7,0,3,1.0,0.0,0.0,0.0,0.0,2,99,1,5.0,5.0,5.0,2,2,2,2,3000,2,"0,091818997",6,7,0
SKY,GO,1,40,6,1,10,10,10,10,10,10,9,9,1.0,8.0,10.0,10.0,10.0,1,10.0,1,0.0,0.0,9.0,2,2,2,1,1000,1,"0,091818997",6,7,0
SKY,GO,1,38,6,2,4,4,2,8,7,2,1,1,1.0,2.0,0.0,5.0,1.0,2,99,2,99,99,99,1,2,2,3,6000,3,"0,091818997",6,7,0
SKY,MG,1,60,8,1,10,10,10,10,10,10,5,10,99,99,99,99,99,1,5.0,2,99,99,99,1,1,2,2,900,1,"0,105366518",6,9,0
SKY,MG,1,21,3,1,3,3,2,4,2,3,2,1,99,99,99,99,99,1,4.0,2,99,99,99,2,2,2,2,1000,1,"0,105366518",6,9,1
SKY,MG,1,32,5,1,5,6,5,5,4,4,5,6,1.0,3.0,6.0,6.0,8.0,1,5.0,1,7.0,7.0,8.0,1,2,2,2,2000,1,"0,105366518",6,9,0
TIM,BA,1,62,8,2,2,3,0,4,1,3,1,0,1.0,1.0,1.0,6.0,7.0,1,3.0,1,9.0,2.0,8.0,2,2,1,3,50000,5,"0,148083294",7,3,1
TIM,GO,1,78,9,1,8,8,9,8,8,8,8,10,1.0,5.0,6.0,6.0,6.0,1,5.0,2,99,99,99,2,2,2,1,999998,1,"0,239904845",7,7,0
TIM,GO,1,42,7,1,10,10,10,10,9,10,10,10,99,99,99,99,99,2,99,1,10.0,10.0,10.0,2,1,1,1,999998,99,"0,239904845",7,7,0
TIM,GO,1,35,5,1,3,3,5,5,3,5,8,9,1.0,5.0,5.0,5.0,6.0,1,5.0,2,99,99,99,2,2,2,2,12000,5,"0,239904845",7,7,1
TIM,GO,2,33,5,1,8,9,8,8,7,9,8,8,1.0,6.0,7.0,8.0,8.0,1,6.0,2,99,99,99,2,2,2,2,4000,2,"0,239904845",7,7,0
UNIFIQUE,SC,1,37,6,1,6,7,8,4,3,4,8,7,1.0,0.0,7.0,7.0,5.0,1,9.0,2,99,99,99,2,2,2,2,999998,99,"1,803466277",8,22,0
UNIFIQUE,SC,1,62,8,1,10,10,10,9,8,8,8,8,99,99,99,99,99,2,99,2,99,99,99,2,2,2,3,5000,3,"1,803466277",8,22,0
VIVO,MT,1,39,6,1,10,10,9,9,10,5,10,10,1.0,10.0,8.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,7,3000,2,"0,194836628",9,11,0
VIVO,PE,2,39,6,1,8,7,7,8,8,8,8,8,99,99,99,99,99,2,99,2,99,99,99,1,1,1,2,8000,4,"0,710561378",9,14,0
VIVO,PE,2,50,7,1,7,7,7,6,6,6,8,8,99,99,99,99,99,2,99,2,99,99,99,1,2,1,1,3500,2,"0,710561378",9,14,0
VIVO,PE,1,44,7,2,5,3,5,8,7,7,8,4,1.0,4.0,8.0,8.0,6.0,1,6.0,2,99,99,99,2,2,1,5,1045,1,"0,710561378",9,14,0
VIVO,PR,1,39,6,2,6,6,7,5,5,7,6,7,99,99,99,99,99,1,7.0,1,8.0,8.0,7.0,2,1,1,1,999998,1,"1,950081038",9,16,0
VIVO,PR,1,65,8,2,6,6,6,8,8,10,3,0,1.0,0.0,6.0,8.0,8.0,1,8.0,2,99,99,99,2,2,1,1,1045,1,"1,950081038",9,16,0
VIVO,RS,1,37,6,1,8,8,9,9,8,9,9,9,99,99,99,99,99,1,10.0,1,10.0,10.0,10.0,2,1,1,1,3000,2,"1,524497128",9,21,0
VIVO,RS,1,68,8,1,9,10,10,10,9,10,10,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,4000,2,"1,524497128",9,21,0
VIVO,SC,1,41,7,1,10,10,10,10,8,10,10,10,1.0,8.0,5.0,10.0,10.0,1,8.0,1,10.0,10.0,10.0,1,2,1,3,999998,2,"1,124866094",9,22,0
VIVO,SC,2,42,7,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,1,1,1,1,3500,2,"1,124866094",9,22,0
VIVO,SE,1,31,5,2,7,6,6,8,8,7,7,7,99,99,99,99,99,1,8.0,1,8.0,8.0,8.0,2,2,1,2,3000,2,"0,190393961",9,23,0
VIVO,SP,1,58,8,2,8,0,8,8,5,8,8,8,99,99,99,99,99,2,99,2,99,99,99,2,2,2,1,2000,1,"14,96133461",9,24,0
VIVO,SP,2,23,3,1,9,10,9,10,9,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,1,4,6000,3,"14,96133461",9,24,0
CLARO/NET,AC,1,44,7,1,7,9,7,6,5,8,8,9,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,6000,3,"0,076348118",2,0,0
CLARO/NET,AC,1,26,4,1,7,8,7,10,7,5,5,9,1.0,8.0,5.0,7.0,7.0,2,99,2,99,99,99,1,1,2,1,4000,2,"0,076348118",2,0,0
CLARO/NET,AM,2,25,4,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,8.0,1,6.0,2,99,99,99,1,1,1,3,999999,99,"0,835665362",2,2,0
CLARO/NET,BA,1,53,8,2,4,7,5,7,4,5,10,9,99,99,99,99,99,1,0.0,1,6.0,4.0,7.0,1,2,1,2,50000,5,"0,511635463",2,3,0
CLARO/NET,BA,2,38,6,1,7,7,7,7,5,8,5,8,99,99,99,99,99,1,7.0,2,99,99,99,1,2,1,2,3000,2,"0,511635463",2,3,0
CLARO/NET,BA,1,60,8,2,6,7,4,9,6,6,9,10,1.0,8.0,7.0,5.0,6.0,1,4.0,1,9.0,9.0,8.0,2,2,1,1,2000,1,"0,511635463",2,3,0
CLARO/NET,DF,2,45,7,1,9,8,10,9,8,8,9,10,99,99,99,99,99,2,99,2,99,99,99,1,1,2,2,3000,2,"1,51406594",2,5,0
CLARO/NET,DF,1,38,6,1,8,7,7,9,9,9,7,9,1.0,6.0,7.0,7.0,9.0,1,9.0,2,99,99,99,1,1,1,2,6000,3,"1,51406594",2,5,0
CLARO/NET,ES,1,61,8,2,5,6,7,5,5,5,6,6,1.0,7.0,8.0,8.0,8.0,1,7.0,2,99,99,99,2,1,1,2,3000,2,"0,630163929",2,6,0
CLARO/NET,ES,1,84,9,1,8,7,8,9,9,9,7,8,1.0,5.0,5.0,8.0,8.0,2,99,1,5.0,9.0,10.0,2,2,1,6,999999,99,"0,630163929",2,6,0
CLARO/NET,GO,1,56,8,2,8,7,9,9,7,8,9,8,1.0,8.0,7.0,8.0,7.0,2,99,2,99,99,99,1,2,1,2,40000,5,"0,800542161",2,7,0
CLARO/NET,GO,1,34,5,1,5,0,4,0,4,6,7,8,1.0,7.0,3.0,5.0,6.0,1,3.0,1,7.0,6.0,6.0,1,1,1,2,4000,2,"0,800542161",2,7,0
CLARO/NET,GO,1,21,3,2,10,7,9,10,10,10,10,10,1.0,5.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,1,1,1,5000,3,"0,800542161",2,7,0
CLARO/NET,MA,1,44,7,1,8,9,9,8,8,8,9,9,1.0,8.0,9.0,9.0,9.0,2,99,2,99,99,99,2,2,1,3,999998,1,"0,30203225",2,8,0
CLARO/NET,MA,2,27,4,1,8,8,8,7,8,7,8,8,99,99,99,99,99,1,8.0,1,9.0,9.0,8.0,1,2,1,3,15000,5,"0,30203225",2,8,0
CLARO/NET,MA,2,19,3,1,9,10,10,9,9,9,10,10,1.0,9.0,10.0,10.0,9.0,1,9.0,2,99,99,99,2,2,1,1,999999,99,"0,30203225",2,8,0
CLARO/NET,MG,1,51,8,2,5,8,5,6,6,3,5,9,1.0,7.0,5.0,7.0,7.0,1,7.0,1,8.0,8.0,8.0,1,1,2,1,20000,5,"2,41303017",2,9,0
CLARO/NET,MT,1,34,5,2,5,8,5,4,1,4,8,8,1.0,1.0,8.0,8.0,7.0,1,2.0,1,7.0,9.0,5.0,1,2,1,3,5000,3,"0,331975794",2,11,0
CLARO/NET,PA,2,54,8,2,9,10,10,10,9,10,9,9,1.0,8.0,10.0,10.0,9.0,2,99,2,99,99,99,1,1,1,99,999999,99,"0,498548009",2,12,0
CLARO/NET,PA,1,36,6,2,8,5,6,9,7,8,5,8,99,99,99,99,99,1,8.0,1,8.0,9.0,8.0,2,1,1,3,999998,3,"0,498548009",2,12,0
CLARO/NET,PB,1,32,5,2,5,4,6,7,4,3,7,5,1.0,0.0,2.0,3.0,0.0,1,2.0,2,99,99,99,1,1,1,1,12000,5,"0,397971582",2,13,0
CLARO/NET,PE,1,32,5,2,7,9,7,8,8,5,9,9,1.0,9.0,7.0,8.0,8.0,1,7.0,1,10.0,10.0,9.0,1,2,2,1,999998,99,"0,454021016",2,14,0
CLARO/NET,PE,2,28,4,1,7,8,9,8,7,7,8,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,999999,99,"0,454021016",2,14,0
CLARO/NET,PI,1,51,8,2,8,7,8,8,7,7,8,8,1.0,6.0,5.0,8.0,8.0,1,8.0,1,8.0,8.0,8.0,1,2,1,1,20000,5,"0,173615161",2,15,0
CLARO/NET,PI,1,43,7,2,7,7,8,7,7,5,7,6,1.0,4.0,5.0,9.0,6.0,1,5.0,1,8.0,10.0,10.0,1,1,1,2,10000,4,"0,173615161",2,15,0
CLARO/NET,PR,2,18,3,2,8,2,9,8,6,8,10,7,99,99,99,99,99,2,99,2,99,99,99,2,2,1,2,1000,1,"2,176868465",2,16,0
CLARO/NET,PR,1,68,8,2,2,7,3,5,5,2,7,7,1.0,5.0,5.0,5.0,5.0,1,2.0,2,99,99,99,1,2,1,2,2000,1,"2,176868465",2,16,1
CLARO/NET,PR,1,36,6,1,7,5,7,7,7,7,8,9,1.0,10.0,8.0,8.0,9.0,1,2.0,1,8.0,10.0,5.0,1,2,1,2,10000,4,"2,176868465",2,16,0
CLARO/NET,PR,1,34,5,1,10,10,10,8,8,8,8,9,1.0,10.0,10.0,10.0,10.0,1,8.0,2,99,99,99,1,1,2,1,1700,1,"2,176868465",2,16,0
CLARO/NET,RN,1,72,9,2,6,6,4,7,6,6,7,7,1.0,8.0,6.0,4.0,8.0,1,8.0,1,8.0,6.0,8.0,1,2,1,2,5000,3,"0,333738666",2,18,0
CLARO/NET,RO,1,42,7,1,8,8,9,7,7,9,8,7,1.0,9.0,9.0,9.0,9.0,1,7.0,1,9.0,9.0,9.0,1,2,1,2,6500,4,"0,071185672",2,19,0
CLARO/NET,RS,1,66,8,2,6,5,6,7,7,7,7,7,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,999998,2,"2,903910715",2,21,0
CLARO/NET,RS,1,36,6,2,6,5,7,6,5,5,9,8,99,99,99,99,99,1,6.0,1,9.0,7.0,8.0,2,2,2,1,3000,2,"2,903910715",2,21,0
CLARO/NET,SC,2,47,7,1,8,8,5,9,9,9,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,999998,99,"2,442418163",2,22,0
CLARO/NET,SC,1,53,8,2,2,0,2,5,5,5,2,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,5000,3,"2,442418163",2,22,1
CLARO/NET,SC,1,50,7,2,7,9,7,10,9,9,9,10,1.0,0.0,5.0,0.0,4.0,1,7.0,2,99,99,99,1,2,1,2,999998,1,"2,442418163",2,22,0
CLARO/NET,SE,1,74,9,1,7,8,9,8,7,7,8,8,1.0,6.0,7.0,8.0,8.0,2,99,2,99,99,99,1,1,1,2,13000,5,"0,189762983",2,23,0
CLARO/NET,SP,2,37,6,1,10,10,10,10,10,10,10,10,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,999998,99,"19,63292645",2,24,0
CLARO/NET,SP,1,60,8,1,9,10,10,10,10,10,10,10,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,10000,4,"19,63292645",2,24,0
CLARO/NET,SP,2,19,3,1,5,10,3,5,3,0,10,10,1.0,5.0,7.0,5.0,10.0,1,0.0,1,10.0,10.0,4.0,2,2,2,1,3000,2,"19,63292645",2,24,0
ALGAR,GO,1,28,4,2,5,7,7,4,4,5,8,8,1.0,4.0,5.0,8.0,8.0,1,4.0,1,8.0,6.0,5.0,2,2,1,1,999999,99,"0,082942386",0,7,0
ALGAR,GO,1,24,3,2,8,9,8,10,8,9,8,9,99,99,99,99,99,2,99,2,99,99,99,2,2,1,2,2800,2,"0,082942386",0,7,0
ALGAR,MG,1,36,6,2,1,5,5,1,1,1,10,4,1.0,3.0,3.0,6.0,6.0,1,1.0,1,1.0,1.0,1.0,2,1,1,2,3000,2,"1,720490595",0,9,1
ALGAR,MG,1,62,8,1,8,10,10,10,8,99,10,10,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,2,2,1,1,4500,3,"1,720490595",0,9,0
ALGAR,MG,1,60,8,1,9,10,10,10,9,9,9,9,99,99,99,99,99,2,99,2,99,99,99,2,1,1,1,1056,1,"1,720490595",0,9,0
BRISANET,CE,1,20,3,2,9,10,10,10,9,9,10,10,1.0,0.0,9.0,10.0,0.0,2,99,2,99,99,99,2,2,2,1,3000,2,"1,30502718",1,4,0
BRISANET,CE,1,32,5,2,2,8,5,2,2,2,5,8,1.0,0.0,3.0,7.0,3.0,1,3.0,1,2.0,0.0,0.0,2,2,1,3,999998,5,"1,30502718",1,4,1
BRISANET,CE,1,46,7,2,8,10,10,9,8,8,10,10,99,99,99,99,99,2,99,2,99,99,99,1,2,1,1,1000,1,"1,30502718",1,4,0
BRISANET,PB,2,47,7,1,10,8,8,9,9,9,9,9,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,2,2,1,3,999998,2,"1,273601605",1,13,0
BRISANET,PB,1,32,5,2,6,10,5,5,3,5,4,8,1.0,8.0,8.0,10.0,10.0,1,8.0,2,99,99,99,2,2,1,1,4500,3,"1,273601605",1,13,0
BRISANET,PE,1,35,5,2,0,5,6,7,4,4,5,8,1.0,2.0,5.0,0.0,3.0,2,99,2,99,99,99,2,2,2,4,4000,2,"0,153672687",1,14,1
BRISANET,PE,2,26,4,1,10,10,10,10,8,9,10,10,99,99,99,99,99,1,9.0,2,99,99,99,2,2,2,2,2000,1,"0,153672687",1,14,0
BRISANET,PE,1,26,4,1,7,6,6,8,7,8,7,6,1.0,8.0,8.0,8.0,8.0,2,99,2,99,99,99,2,2,2,2,2000,1,"0,153672687",1,14,0
BRISANET,RN,2,18,3,2,7,8,7,6,4,8,10,10,1.0,8.0,7.0,9.0,9.0,1,8.0,2,99,99,99,2,1,1,2,4000,2,"0,527034435",1,18,0
HUGHES,BA,1,69,8,2,8,8,8,8,7,6,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,2,1,24000,5,"0,057069444",3,3,0
HUGHES,RS,1,21,3,1,6,5,5,9,8,5,0,3,1.0,0.0,6.0,6.0,2.0,1,5.0,1,2.0,5.0,5.0,2,2,2,1,800,1,"0,068548425",3,21,0
HUGHES,RS,1,66,8,1,7,8,7,7,7,5,10,10,1.0,7.0,10.0,8.0,8.0,1,8.0,2,99,99,99,2,2,2,2,10000,4,"0,068548425",3,21,0
HUGHES,SP,1,38,6,1,0,0,0,1,6,5,0,0,1.0,8.0,8.0,6.0,0.0,1,6.0,1,8.0,9.0,0.0,2,2,2,3,999998,99,"0,106652325",3,24,1
HUGHES,SP,1,58,8,2,8,9,9,8,8,7,7,8,1.0,7.0,10.0,9.0,9.0,2,99,1,9.0,9.0,9.0,2,2,2,2,5000,3,"0,106652325",3,24,0
OI,AC,1,54,8,1,0,10,0,0,0,0,0,0,1.0,5.0,4.0,7.0,10.0,1,0.0,1,0.0,0.0,0.0,2,1,1,2,900,1,"0,148912782",4,0,1
OI,AC,1,36,6,2,4,6,5,4,2,3,8,8,1.0,7.0,8.0,8.0,8.0,1,8.0,1,0.0,0.0,6.0,2,2,1,1,5800,3,"0,148912782",4,0,0
OI,AC,1,47,7,1,8,8,7,8,7,3,5,8,1.0,3.0,10.0,8.0,6.0,2,99,2,99,99,99,2,1,2,5,999998,99,"0,148912782",4,0,0
OI,AC,1,51,8,1,2,4,5,1,1,1,5,10,1.0,6.0,6.0,8.0,6.0,1,5.0,2,99,99,99,1,1,1,2,12000,5,"0,148912782",4,0,1
OI,AL,2,38,6,1,8,8,8,8,7,9,10,9,99,99,99,99,99,1,8.0,2,99,99,99,2,2,1,2,3000,2,"0,083964386",4,1,0
OI,AM,2,21,3,1,8,8,8,7,6,7,8,8,1.0,5.0,6.0,7.0,6.0,1,5.0,2,99,99,99,2,2,1,2,100000,5,"0,087477352",4,2,0
OI,AM,1,40,6,2,8,8,7,8,7,8,10,9,1.0,7.0,7.0,9.0,8.0,1,8.0,1,9.0,9.0,9.0,2,1,1,1,1100,1,"0,087477352",4,2,0
OI,BA,2,35,5,1,0,0,0,0,0,0,0,0,99,99,99,99,99,1,0.0,1,10.0,10.0,0.0,1,1,1,2,2000,1,"0,859429588",4,3,1
OI,BA,1,35,5,1,5,8,5,10,5,5,10,10,1.0,3.0,9.0,10.0,10.0,1,5.0,1,2.0,0.0,0.0,2,1,1,2,1800,1,"0,859429588",4,3,0
OI,BA,1,52,8,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,1,10.0,10.0,10.0,2,1,1,2,900,1,"0,859429588",4,3,0
OI,BA,2,54,8,1,8,9,9,10,8,8,10,10,1.0,10.0,8.0,10.0,9.0,2,99,2,99,99,99,2,1,1,2,10000,4,"0,859429588",4,3,0
OI,BA,1,46,7,1,3,3,3,3,3,4,5,5,99,99,99,99,99,2,99,2,99,99,99,2,2,1,99,999998,99,"0,859429588",4,3,1
OI,BA,1,56,8,1,7,7,7,7,5,7,9,7,1.0,7.0,8.0,8.0,8.0,1,9.0,2,99,99,99,2,2,1,2,999998,2,"0,859429588",4,3,0
OI,BA,2,67,8,1,9,8,8,9,9,9,10,10,1.0,5.0,7.0,8.0,9.0,1,9.0,1,8.0,9.0,10.0,2,1,1,3,999998,2,"0,859429588",4,3,0
OI,BA,2,63,8,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,3.0,3.0,1,0.0,1,4.0,5.0,0.0,2,1,1,1,2000,1,"0,859429588",4,3,1
OI,CE,1,38,6,1,8,7,10,9,9,9,10,7,99,99,99,99,99,1,9.0,1,10.0,10.0,9.0,1,1,1,2,999998,99,"0,253532134",4,4,0
OI,CE,1,30,4,1,8,9,9,8,8,9,8,10,1.0,9.0,9.0,10.0,10.0,1,10.0,1,9.0,10.0,10.0,2,1,1,2,2000,1,"0,253532134",4,4,0
OI,CE,1,65,8,1,5,3,3,3,2,3,4,2,1.0,0.0,5.0,8.0,0.0,2,99,2,99,99,99,2,1,1,2,999998,1,"0,253532134",4,4,0
OI,DF,1,42,7,2,5,7,10,5,5,3,8,8,1.0,5.0,10.0,7.0,9.0,1,9.0,1,9.0,9.0,9.0,2,1,1,2,5000,3,"0,437668628",4,5,0
OI,ES,1,64,8,2,9,8,8,9,9,10,6,5,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,2500,2,"0,514795598",4,6,0
OI,GO,1,64,8,1,4,8,10,3,1,3,8,10,1.0,0.0,10.0,10.0,8.0,1,1.0,1,10.0,10.0,10.0,2,2,1,1,999998,1,"1,21207721",4,7,0
OI,GO,1,31,5,1,8,8,8,8,7,7,7,8,1.0,7.0,7.0,7.0,8.0,1,9.0,1,9.0,9.0,9.0,2,2,1,3,5000,3,"1,21207721",4,7,0
OI,GO,1,60,8,1,8,8,7,8,10,8,5,8,1.0,5.0,0.0,8.0,8.0,2,99,1,10.0,10.0,10.0,2,1,1,1,3000,2,"1,21207721",4,7,0
OI,MA,1,50,7,1,0,5,5,4,5,2,0,3,1.0,0.0,5.0,6.0,6.0,1,5.0,1,3.0,6.0,5.0,2,2,1,2,999998,99,"0,194692994",4,8,1
OI,MA,1,38,6,2,99,10,10,10,10,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,1500,1,"0,194692994",4,8,0
OI,MA,2,39,6,1,7,7,7,6,7,7,6,6,99,99,99,99,99,1,6.0,1,6.0,7.0,6.0,2,1,1,2,1500,1,"0,194692994",4,8,0
OI,MA,1,43,7,2,0,0,2,0,0,0,0,5,99,99,99,99,99,1,2.0,1,0.0,2.0,0.0,2,1,1,2,3000,2,"0,194692994",4,8,1
OI,MA,2,21,3,1,2,5,0,4,1,4,2,1,1.0,6.0,5.0,8.0,8.0,1,2.0,2,99,99,99,2,2,1,2,2000,1,"0,194692994",4,8,1
OI,MA,1,33,5,1,0,2,2,0,0,0,2,10,99,99,99,99,99,1,0.0,1,7.0,7.0,0.0,2,1,1,1,1000,1,"0,194692994",4,8,1
OI,MA,1,42,7,1,8,9,9,9,9,8,8,8,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,1,1,1,2,17000,5,"0,194692994",4,8,0
OI,MG,1,37,6,2,2,2,0,0,0,0,4,4,1.0,3.0,0.0,0.0,7.0,1,0.0,1,0.0,0.0,2.0,1,1,1,1,7000,4,"2,373394851",4,9,1
OI,MG,1,45,7,2,7,6,5,9,5,7,5,4,1.0,5.0,7.0,5.0,8.0,1,9.0,2,99,99,99,1,1,1,2,5000,3,"2,373394851",4,9,0
OI,MG,1,56,8,1,4,5,6,4,4,5,5,9,1.0,5.0,6.0,9.0,5.0,1,8.0,1,8.0,9.0,8.0,1,2,1,2,999998,99,"2,373394851",4,9,0
OI,MG,1,22,3,1,8,3,3,8,8,8,8,7,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,3000,2,"2,373394851",4,9,0
OI,MS,1,50,7,2,8,7,7,7,7,8,8,7,1.0,5.0,7.0,7.0,8.0,1,8.0,2,99,99,99,1,2,1,1,999998,1,"0,515743188",4,10,0
OI,MS,1,40,6,2,8,8,8,7,7,7,7,7,1.0,5.0,6.0,7.0,6.0,1,7.0,1,7.0,7.0,8.0,2,2,1,2,2500,2,"0,515743188",4,10,0
OI,MS,1,23,3,2,8,8,10,10,6,8,10,8,1.0,10.0,10.0,10.0,10.0,1,10.0,1,5.0,10.0,10.0,1,2,1,1,4500,3,"0,515743188",4,10,0
