OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
OI,SE,2,41,7,2,7,7,8,8,9,8,6,9,1.0,0.0,7.0,5.0,5.0,2,99,2,99,99,99,2,1,1,1,15000,5,"0,115610301",4,23,0
OI,TO,1,53,8,1,10,10,10,10,10,10,10,10,1.0,8.0,8.0,10.0,10.0,2,99,2,99,99,99,1,1,1,2,6000,3,"0,200930781",4,25,0
SERCOMTEL,PR,2,22,3,1,5,6,4,5,6,5,5,7,1.0,6.0,7.0,7.0,8.0,1,7.0,2,99,99,99,2,2,1,2,2800,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,41,7,2,10,10,10,10,10,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,3500,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,43,7,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,4,5000,3,"0,302190147",5,16,0
SERCOMTEL,PR,1,68,8,1,8,8,10,10,8,8,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,1,10.0,10.0,10.0,2,2,1,3,3000,2,"0,302190147",5,16,0
SERCOMTEL,PR,2,34,5,1,0,10,0,5,5,5,10,10,1.0,5.0,0.0,10.0,5.0,1,8.0,1,8.0,8.0,10.0,2,2,1,2,999998,2,"0,302190147",5,16,1
SERCOMTEL,PR,1,40,6,2,7,8,6,7,9,8,7,9,1.0,6.0,8.0,8.0,8.0,2,99,2,99,99,99,2,2,1,1,3200,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,24,3,1,7,9,8,7,7,6,7,9,1.0,6.0,6.0,10.0,10.0,1,0.0,1,8.0,0.0,0.0,2,2,1,2,3000,2,"0,302190147",5,16,0
SERCOMTEL,PR,1,45,7,1,9,10,10,10,8,8,10,10,1.0,10.0,10.0,10.0,10.0,1,9.0,1,10.0,10.0,10.0,2,2,1,2,6000,3,"0,302190147",5,16,0
SERCOMTEL,PR,1,38,6,2,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,10.0,1,10.0,1,10.0,0.0,0.0,2,2,1,2,1500,1,"0,302190147",5,16,1
SKY,AM,1,38,6,1,7,8,9,7,7,7,8,8,1.0,9.0,8.0,9.0,9.0,2,99,2,99,99,99,1,2,2,2,3000,2,"0,133954269",6,2,0
SKY,DF,1,40,6,1,3,4,7,9,5,8,7,4,1.0,0.0,6.0,10.0,9.0,2,99,2,99,99,99,2,2,2,1,999999,99,"0,070998408",6,5,1
SKY,DF,1,25,4,2,8,7,8,8,7,8,10,8,1.0,10.0,10.0,10.0,9.0,2,99,2,99,99,99,2,2,2,1,1800,1,"0,070998408",6,5,0
SKY,MG,1,34,5,2,6,7,5,7,6,5,5,8,99,99,99,99,99,1,7.0,2,99,99,99,2,2,2,1,3000,2,"0,105366518",6,9,0
SKY,MG,1,31,5,2,1,2,2,1,2,1,0,0,1.0,3.0,2.0,4.0,3.0,1,0.0,1,1.0,3.0,3.0,2,2,2,2,1000,1,"0,105366518",6,9,1
SKY,MT,1,51,8,2,9,10,10,8,7,8,9,9,1.0,7.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,2,2,1,2000,1,"0,0548337",6,11,0
SKY,MT,1,26,4,2,8,5,5,6,6,6,6,6,1.0,8.0,8.0,10.0,9.0,1,7.0,2,99,99,99,2,2,2,2,2500,2,"0,0548337",6,11,0
SKY,MT,1,23,3,1,0,0,0,0,0,0,10,10,99,99,99,99,99,1,0.0,2,99,99,99,2,2,2,3,1000,1,"0,0548337",6,11,1
SKY,PA,1,44,7,1,5,9,4,0,1,2,5,9,1.0,0.0,0.0,10.0,10.0,1,0.0,1,0.0,0.0,0.0,2,2,2,2,999998,1,"0,123385668",6,12,0
SKY,SP,1,25,4,2,9,10,10,9,9,9,9,9,1.0,9.0,9.0,9.0,9.0,1,10.0,1,9.0,9.0,10.0,1,2,2,2,3000,2,"0,078931727",6,24,0
SKY,SP,1,48,7,2,1,4,1,0,0,0,0,0,1.0,0.0,3.0,4.0,0.0,1,4.0,1,0.0,0.0,0.0,2,2,2,2,20000,5,"0,078931727",6,24,1
TIM,BA,2,45,7,1,5,6,5,6,4,6,5,7,1.0,5.0,5.0,7.0,6.0,1,3.0,1,0.0,4.0,4.0,2,2,1,1,3000,2,"0,148083294",7,3,0
TIM,BA,2,32,5,1,7,99,6,6,7,9,10,99,1.0,9.0,8.0,8.0,9.0,1,7.0,1,9.0,8.0,7.0,2,2,1,1,999998,99,"0,148083294",7,3,0
TIM,BA,1,42,7,2,7,1,1,9,10,10,9,9,1.0,8.0,9.0,7.0,7.0,1,8.0,1,7.0,8.0,7.0,2,2,1,5,999998,99,"0,148083294",7,3,0
TIM,BA,1,44,7,1,3,3,6,5,3,3,8,8,1.0,5.0,5.0,5.0,8.0,1,0.0,2,99,99,99,2,2,1,2,6000,3,"0,148083294",7,3,1
TIM,GO,1,52,8,2,8,8,9,8,9,5,10,9,99,99,99,99,99,1,7.0,1,8.0,9.0,8.0,2,2,2,3,7000,4,"0,239904845",7,7,0
TIM,GO,1,47,7,1,5,8,5,3,3,3,10,8,99,99,99,99,99,1,3.0,1,4.0,3.0,3.0,2,2,1,2,20000,5,"0,239904845",7,7,0
TIM,GO,1,34,5,2,8,9,9,8,10,8,5,9,1.0,5.0,8.0,6.0,7.0,1,6.0,2,99,99,99,2,2,2,2,4000,2,"0,239904845",7,7,0
UNIFIQUE,SC,1,27,4,2,9,9,10,8,10,10,9,9,1.0,8.0,8.0,10.0,8.0,1,10.0,1,10.0,10.0,10.0,2,1,1,4,999998,1,"1,803466277",8,22,0
UNIFIQUE,SC,1,44,7,1,9,10,9,9,9,9,10,10,1.0,9.0,10.0,9.0,9.0,1,9.0,2,99,99,99,2,2,2,2,999998,99,"1,803466277",8,22,0
UNIFIQUE,SC,1,21,3,1,9,8,8,10,9,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,2,2,3000,2,"1,803466277",8,22,0
UNIFIQUE,SC,1,26,4,2,7,9,8,6,5,6,10,8,99,99,99,99,99,1,5.0,1,7.0,7.0,7.0,2,1,1,3,999998,99,"1,803466277",8,22,0
UNIFIQUE,SC,2,31,5,1,9,8,9,9,9,10,10,9,1.0,6.0,10.0,9.0,7.0,1,8.0,1,7.0,8.0,8.0,2,2,1,4,5000,3,"1,803466277",8,22,0
VIVO,AL,1,40,6,2,7,10,9,8,7,7,9,9,1.0,1.0,6.0,7.0,4.0,1,7.0,2,99,99,99,1,1,2,2,999998,99,"0,164269245",9,1,0
VIVO,BA,2,27,4,1,6,10,3,5,0,7,8,8,1.0,0.0,3.0,7.0,7.0,1,3.0,1,5.0,7.0,5.0,2,2,1,3,999998,99,"0,668020487",9,3,0
VIVO,DF,1,40,6,2,10,10,10,10,0,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,2,2000,1,"0,860180898",9,5,0
VIVO,GO,1,39,6,1,6,5,7,8,7,7,5,5,1.0,1.0,5.0,7.0,5.0,1,5.0,1,7.0,7.0,7.0,2,2,1,2,999998,1,"0,791468434",9,7,0
VIVO,MG,1,31,5,2,7,8,6,8,8,6,7,8,99,99,99,99,99,2,99,2,99,99,99,2,1,2,1,2000,1,"1,475334685",9,9,0
VIVO,MG,2,54,8,1,9,10,10,9,9,9,10,10,1.0,10.0,10.0,99.0,10.0,1,10.0,2,99,99,99,2,2,1,1,5000,3,"1,475334685",9,9,0
VIVO,PE,1,21,3,2,8,10,8,8,9,7,9,10,1.0,7.0,0.0,9.0,9.0,1,10.0,2,99,99,99,2,2,1,2,3500,2,"0,710561378",9,14,0
VIVO,RJ,1,47,7,2,8,7,8,7,7,8,9,8,1.0,7.0,7.0,6.0,7.0,2,99,2,99,99,99,2,2,1,3,6000,3,"1,225023816",9,17,0
VIVO,RS,1,54,8,2,5,8,8,8,7,6,9,9,1.0,7.0,8.0,10.0,9.0,1,8.0,1,10.0,10.0,10.0,2,2,1,3,999999,99,"1,524497128",9,21,0
VIVO,RS,1,46,7,2,0,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,2,1,1,2,3000,2,"1,524497128",9,21,1
VIVO,SC,1,42,7,1,8,9,7,8,7,8,7,8,99,99,99,99,99,1,9.0,1,10.0,10.0,9.0,2,2,1,2,4000,2,"1,124866094",9,22,0
VIVO,SC,1,31,5,1,3,5,0,0,3,0,10,5,1.0,5.0,5.0,5.0,5.0,1,5.0,2,99,99,99,2,2,1,2,3000,2,"1,124866094",9,22,1
VIVO,SP,2,60,8,1,7,8,8,8,7,8,8,6,1.0,5.0,6.0,6.0,6.0,1,6.0,2,99,99,99,1,2,2,2,999999,99,"14,96133461",9,24,0
CLARO/NET,AC,1,47,7,1,9,8,8,10,10,10,8,8,1.0,8.0,8.0,8.0,8.0,1,8.0,1,10.0,10.0,10.0,2,1,1,1,2500,2,"0,076348118",2,0,0
CLARO/NET,AM,1,40,6,1,10,10,10,10,10,8,10,10,99,99,99,99,99,2,99,1,10.0,10.0,10.0,2,1,1,2,1800,1,"0,835665362",2,2,0
CLARO/NET,BA,1,42,7,1,3,5,0,8,9,9,2,0,1.0,6.0,0.0,8.0,8.0,1,7.0,2,99,99,99,1,2,1,2,2800,2,"0,511635463",2,3,1
CLARO/NET,BA,1,63,8,1,5,5,4,3,2,2,2,7,1.0,3.0,4.0,2.0,5.0,1,5.0,1,6.0,2.0,8.0,2,2,1,2,7000,4,"0,511635463",2,3,0
CLARO/NET,BA,2,45,7,1,4,8,8,2,0,3,99,8,1.0,5.0,2.0,8.0,3.0,1,1.0,1,99.0,5.0,3.0,1,2,2,3,999999,99,"0,511635463",2,3,0
CLARO/NET,BA,1,49,7,2,6,10,7,10,6,6,10,10,1.0,10.0,10.0,10.0,10.0,1,5.0,2,99,99,99,2,2,1,2,999998,1,"0,511635463",2,3,0
CLARO/NET,ES,1,32,5,2,4,5,4,6,5,5,0,2,1.0,8.0,5.0,3.0,2.0,1,7.0,2,99,99,99,2,2,1,1,3000,2,"0,630163929",2,6,0
CLARO/NET,GO,1,55,8,2,9,8,9,8,8,8,9,10,1.0,8.0,9.0,10.0,9.0,1,8.0,2,99,99,99,1,1,1,1,999998,2,"0,800542161",2,7,0
CLARO/NET,MA,1,50,7,1,8,7,9,7,7,6,10,10,1.0,5.0,8.0,10.0,8.0,1,7.0,2,99,99,99,1,1,1,2,15000,5,"0,30203225",2,8,0
CLARO/NET,MG,2,55,8,1,7,7,7,9,8,8,8,8,1.0,7.0,8.0,7.0,7.0,2,99,2,99,99,99,1,2,1,2,8000,4,"2,41303017",2,9,0
CLARO/NET,MG,1,46,7,2,5,5,5,6,5,5,5,6,1.0,5.0,5.0,5.0,5.0,2,99,2,99,99,99,2,2,1,1,5000,3,"2,41303017",2,9,0
CLARO/NET,MS,1,38,6,2,6,4,5,7,6,3,3,4,99,99,99,99,99,2,99,2,99,99,99,1,2,2,1,999998,99,"0,448520949",2,10,0
CLARO/NET,MT,1,66,8,2,7,10,7,7,7,7,10,10,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,1,2,1,3,999999,99,"0,331975794",2,11,0
CLARO/NET,PB,1,43,7,1,4,9,3,9,9,10,10,10,1.0,9.0,5.0,9.0,6.0,2,99,1,9.0,9.0,9.0,1,2,1,3,15000,5,"0,397971582",2,13,0
CLARO/NET,PE,2,28,4,1,9,10,10,10,8,10,10,10,99,99,99,99,99,1,9.0,2,99,99,99,1,1,1,2,3000,2,"0,454021016",2,14,0
CLARO/NET,PI,2,33,5,1,8,8,9,8,7,8,8,9,1.0,8.0,8.0,8.0,8.0,1,7.0,1,9.0,9.0,8.0,1,1,1,4,999998,2,"0,173615161",2,15,0
CLARO/NET,PI,1,51,8,2,4,8,5,5,2,5,8,9,1.0,8.0,6.0,8.0,8.0,1,3.0,2,99,99,99,1,2,1,2,15000,5,"0,173615161",2,15,0
CLARO/NET,PI,2,28,4,1,6,4,1,8,5,7,7,9,1.0,2.0,3.0,3.0,3.0,1,6.0,2,99,99,99,2,2,1,3,10000,4,"0,173615161",2,15,0
CLARO/NET,PR,1,46,7,1,5,1,10,2,0,6,10,10,1.0,3.0,5.0,0.0,5.0,1,1.0,1,3.0,0.0,5.0,2,2,1,4,7000,4,"2,176868465",2,16,0
CLARO/NET,PR,1,68,8,1,7,6,8,9,9,8,8,8,99,99,99,99,99,2,99,2,99,99,99,2,1,1,1,2000,1,"2,176868465",2,16,0
CLARO/NET,PR,1,68,8,2,7,8,5,2,2,2,1,5,99,99,99,99,99,1,5.0,2,99,99,99,1,1,1,1,10000,4,"2,176868465",2,16,0
CLARO/NET,RN,2,18,3,2,8,8,7,8,9,8,9,9,1.0,6.0,5.0,6.0,8.0,1,9.0,1,9.0,9.0,9.0,1,1,2,1,8000,4,"0,333738666",2,18,0
CLARO/NET,RN,1,65,8,2,4,5,4,6,4,5,5,7,1.0,5.0,5.0,5.0,4.0,1,3.0,1,7.0,4.0,3.0,1,1,1,1,10000,4,"0,333738666",2,18,0
CLARO/NET,RO,1,61,8,1,7,8,8,8,8,7,99,8,99,99,99,99,99,2,99,1,10.0,10.0,10.0,1,2,1,1,12000,5,"0,071185672",2,19,0
CLARO/NET,SP,1,39,6,2,3,0,0,5,3,3,3,2,1.0,0.0,0.0,0.0,0.0,2,99,1,3.0,0.0,5.0,1,1,1,2,20000,5,"19,63292645",2,24,1
ALGAR,MG,2,18,3,2,6,4,7,10,8,8,5,3,99,99,99,99,99,2,99,2,99,99,99,2,1,1,2,5000,3,"1,720490595",0,9,0
ALGAR,MG,2,58,8,1,7,8,7,6,7,6,7,9,1.0,7.0,7.0,8.0,6.0,1,7.0,1,6.0,9.0,8.0,2,1,1,2,999998,1,"1,720490595",0,9,0
ALGAR,MG,1,22,3,1,10,6,6,8,10,8,8,10,1.0,1.0,8.0,10.0,8.0,2,99,2,99,99,99,2,1,1,3,999998,99,"1,720490595",0,9,0
ALGAR,MG,2,50,7,1,5,5,5,4,2,3,7,0,1.0,4.0,10.0,8.0,0.0,1,7.0,1,10.0,10.0,7.0,2,1,1,1,999998,1,"1,720490595",0,9,0
ALGAR,MG,1,29,4,2,5,6,5,8,5,5,4,10,1.0,5.0,8.0,7.0,7.0,1,6.0,1,10.0,10.0,10.0,2,2,1,3,6000,3,"1,720490595",0,9,0
ALGAR,SP,1,41,7,2,8,9,9,8,7,8,8,8,1.0,7.0,8.0,9.0,8.0,1,8.0,2,99,99,99,2,1,1,2,999998,99,"0,385319884",0,24,0
BRISANET,CE,1,24,3,2,8,9,8,10,7,9,9,10,1.0,10.0,10.0,10.0,10.0,1,8.0,2,99,99,99,2,2,1,8,3000,2,"1,30502718",1,4,0
BRISANET,PB,2,47,7,2,8,10,8,9,8,7,10,9,99,99,99,99,99,2,99,2,99,99,99,2,1,2,4,1000,1,"1,273601605",1,13,0
BRISANET,PB,1,38,6,2,9,9,9,9,9,8,9,9,99,99,99,99,99,2,99,2,99,99,99,2,2,1,2,999998,5,"1,273601605",1,13,0
BRISANET,PE,1,57,8,2,7,8,7,8,8,8,7,7,1.0,8.0,8.0,8.0,8.0,2,99,2,99,99,99,2,2,2,2,5000,3,"0,153672687",1,14,0
BRISANET,RN,1,67,8,2,6,5,5,6,8,6,10,10,1.0,5.0,10.0,10.0,6.0,1,7.0,1,5.0,5.0,6.0,2,2,2,2,8000,4,"0,527034435",1,18,0
HUGHES,BA,1,28,4,2,6,6,6,7,7,5,6,7,99,99,99,99,99,2,99,2,99,99,99,2,2,2,2,999998,1,"0,057069444",3,3,0
HUGHES,BA,1,42,7,1,7,10,10,8,5,7,8,10,1.0,5.0,8.0,10.0,9.0,1,8.0,2,99,99,99,2,2,2,1,999998,1,"0,057069444",3,3,0
